0.98,-0.32,0.07,-2.32,1.46,-2.56,496,275,185,440,427
0.92,-0.35,0.08,2.81,-2.93,-3.66,495,283,188,443,430
0.95,-0.36,0.04,0.67,-4.88,-0.67,494,286,187,429,434
0.93,-0.36,0.03,4.82,-3.30,-1.65,496,282,186,439,432
0.95,-0.36,0.03,4.58,-3.17,-2.62,495,265,191,438,432
0.93,-0.36,0.04,1.34,-2.20,-5.07,497,278,185,443,429
0.89,-0.38,0.07,3.66,31.98,-12.21,501,280,191,437,430
0.35,-0.49,0.80,-18.01,169.80,28.26,494,280,193,420,433
-0.12,-0.47,0.86,1.10,-16.54,3.05,491,279,189,415,416
-0.07,-0.47,0.90,0.55,-4.46,-0.92,475,282,188,414,413
0.06,-0.49,0.89,7.93,-34.36,-13.73,495,286,197,416,417
0.22,-0.52,0.88,0.00,-6.41,-2.99,491,286,194,430,420
0.45,-0.58,0.74,-8.54,-9.40,-5.13,491,291,187,424,416
0.46,-0.49,0.76,1.95,-10.44,-4.03,492,287,187,424,422
0.38,-0.51,0.80,9.58,-2.93,1.46,494,292,190,415,421
0.19,-0.51,0.86,-1.65,1.89,1.53,492,286,189,421,416
0.33,-0.52,0.79,-1.28,-9.95,-9.16,477,285,194,421,412
0.51,-0.51,0.72,0.85,-3.42,-6.47,490,290,196,421,422
0.54,-0.54,0.65,-4.15,-10.25,-2.32,490,288,191,428,419
0.56,-0.53,0.65,0.31,3.85,-0.43,486,283,206,420,421
0.12,-0.61,0.81,-21.18,105.47,34.67,492,287,189,408,421
0.12,-0.59,0.79,4.88,5.37,-0.12,491,292,182,411,421
0.05,-0.58,0.83,4.82,2.08,0.92,494,296,183,412,418
0.05,-0.58,0.81,3.66,-0.79,-1.89,500,296,193,412,425
0.05,-0.57,0.82,3.23,-3.97,-1.89,489,293,193,413,424
0.05,-0.57,0.83,1.10,-3.54,-2.38,490,292,196,417,424
0.05,-0.57,0.82,1.40,-4.03,-4.27,492,293,193,420,425
0.05,-0.57,0.82,2.01,-1.04,-0.85,487,290,196,415,424
0.02,-0.57,0.83,2.20,-4.33,-2.20,492,292,191,409,424
0.03,-0.56,0.82,2.14,-5.49,-2.56,483,287,199,415,423
0.07,-0.58,0.81,2.69,-0.12,-2.14,491,299,195,419,421
0.06,-0.58,0.81,2.14,-3.72,-2.20,489,284,193,414,422
0.84,-0.47,0.31,3.85,-84.66,-17.70,491,298,199,415,425
0.90,-0.40,0.18,1.59,-0.43,-3.78,490,292,195,419,417
0.92,-0.39,0.17,0.55,-9.70,-1.46,488,312,181,424,416
0.91,-0.38,0.16,8.61,-2.44,-6.77,498,298,191,419,419
0.91,-0.38,0.17,1.04,-3.54,-3.23,483,296,193,425,416
0.92,-0.37,0.18,0.92,-4.33,0.49,493,296,194,428,418
0.93,-0.37,0.17,5.00,-3.78,-3.11,488,295,190,409,419
0.92,-0.37,0.15,2.99,-6.53,-1.95,487,299,183,429,421
0.92,-0.37,0.16,-0.67,-3.60,-0.67,494,297,186,421,420
0.92,-0.36,0.12,7.63,-7.02,-4.46,482,297,196,424,421
0.94,-0.35,0.11,4.39,-4.58,-2.99,489,304,200,423,423
0.93,-0.35,0.10,3.97,-4.09,-3.66,483,302,197,428,420
0.94,-0.35,0.09,8.18,-2.93,-3.78,487,293,201,424,420
0.95,-0.35,0.08,-0.18,-6.90,-1.65,489,302,193,423,424
0.93,-0.35,0.09,1.83,-3.97,-3.54,485,299,212,431,419
0.94,-0.34,0.09,2.01,-2.50,-4.64,488,304,202,424,419
0.94,-0.34,0.09,1.40,-3.91,-1.71,488,302,184,420,416
