"",425,461,235,267,209
"",427,466,231,260,211
"",430,467,228,261,212
"",428,467,227,260,211
"",429,469,228,260,215
"",428,462,232,264,212
"",427,465,228,264,213
"",429,464,229,265,212
"",430,463,227,262,215
"",427,468,231,264,215
"",429,464,232,270,214
"",431,473,229,262,216
"",428,472,226,263,214
"",429,469,232,262,213
"",429,467,229,263,215
"",429,470,233,263,214
"",428,468,231,265,217
"",429,468,232,263,215
"",429,470,227,264,217
"",428,467,230,264,218
"",430,471,231,264,220
"",430,468,231,268,219
"",428,469,231,275,218
"",432,468,230,267,220
"",429,472,231,262,218
"",430,463,227,268,218
"",427,468,228,269,221
"",427,463,229,267,218
"",429,469,226,263,217
"",428,468,229,264,216
"",426,470,228,266,221
"",424,479,230,273,225
"",427,469,226,267,219
"",424,473,230,267,218
"",428,470,229,264,219
"",429,469,232,266,220
"",426,469,228,268,220
"",427,473,229,266,222
"",426,469,230,266,219
"",425,469,229,270,222
"",429,473,232,268,209
"",428,464,230,268,222
"",425,470,233,265,217
"",424,473,231,266,219
"",428,470,227,268,222
"",429,470,229,266,222
"",429,469,232,269,222
"",429,469,229,268,219
"",427,471,232,270,249
"",428,466,230,268,223
"",425,471,230,267,220
"",428,469,233,269,222
"",429,471,233,269,223
"",431,474,228,271,223
"",428,472,231,268,221
"",428,469,230,270,222
"",428,469,228,270,222
"",427,470,231,269,222
"",429,470,232,271,222
"",433,472,232,270,222
"",431,467,228,270,222
"",431,474,233,272,221
"",429,471,229,270,222
"",428,470,226,271,221
"",428,472,239,267,222
"",428,469,232,268,220
"",428,470,245,270,222
"",429,474,233,267,225
"",429,466,233,269,221
"",428,472,234,269,226
"",421,470,228,273,223
"",432,467,230,271,223
"",425,473,233,273,225
"",430,473,232,271,220
"",429,469,231,271,222
"",427,470,231,273,223
"",429,465,230,271,226
"",423,470,242,272,225
"",429,480,233,273,223
"",424,467,232,274,223
"",425,474,230,266,226
"",422,470,231,269,248
"",426,470,234,271,223
"",424,474,228,272,223
"",422,471,235,269,226
"",427,474,231,272,224
"",426,468,235,270,224
"",423,472,234,275,223
"",425,470,234,269,224
"",425,470,233,273,222
"",422,470,235,272,225
"",426,465,229,275,225
"",426,469,232,272,226
"",422,469,230,272,224
"",421,469,235,270,226
"",421,473,235,276,224
"",423,474,237,275,227
"",425,478,234,272,222
"",423,466,230,271,227
"",425,465,232,272,225
"",424,471,231,273,225
"",424,470,232,284,227
"",424,467,236,270,225
"",424,465,232,272,224
"",425,478,233,272,221
"",424,475,233,273,225
"",426,470,240,273,223
"",425,472,232,272,228
"",425,471,235,270,227
"",425,467,234,274,223
"",426,475,233,273,225
"",426,465,236,275,227
"",426,474,236,276,223
"",421,470,235,276,224
"",426,479,233,271,226
"",423,470,234,274,225
"",428,469,236,273,225
"",428,468,233,274,228
"",423,470,234,271,227
"",425,470,233,277,228
"",427,475,234,276,230
"",427,471,232,273,226
"",426,470,234,273,226
"",427,465,234,274,230
"",424,471,234,278,228
"",425,471,233,276,226
"",425,472,231,277,226
"",426,468,236,274,226
"",426,471,234,277,226
"",425,466,231,275,228
"",426,475,235,275,228
"",421,465,236,278,229
"",423,465,236,277,226
"",426,467,234,276,227
"",426,471,234,276,227
"",427,473,237,274,225
"",424,469,234,275,227
"",426,474,232,275,229
