,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
409,0.16,0.64,0.73,-1.04,-4.03,-1.4,419,448,389,367,253
410,0.17,0.66,0.76,-0.37,-3.3,-1.34,421,447,390,368,253
411,0.16,0.67,0.77,-0.73,-3.17,-3.36,422,445,391,365,251
412,0.17,0.65,0.75,2.32,-2.56,-2.81,427,445,389,361,250
413,0.16,0.65,0.74,1.83,-3.6,-1.53,416,446,393,368,247
414,0.17,0.66,0.75,-0.92,-2.69,-0.79,421,440,387,364,251
415,0.18,0.65,0.75,-0.85,-2.69,-1.95,419,456,386,367,250
416,0.18,0.65,0.75,-0.18,-2.14,-2.2,421,447,388,366,248
417,0.17,0.65,0.75,-0.06,-2.62,-2.87,423,451,382,365,250
418,0.17,0.65,0.76,0.55,-3.91,-2.62,416,440,385,365,251
419,0.18,0.64,0.75,0.12,-2.93,-2.81,417,444,386,372,249
420,0.17,0.65,0.76,0.37,-2.81,-2.2,423,446,386,362,253
421,0.18,0.65,0.76,0.0,-2.81,-1.89,420,444,388,367,254
422,0.18,0.65,0.76,0.18,-2.87,-2.93,418,451,386,365,253
423,0.17,0.64,0.76,1.16,-3.97,-2.69,423,450,387,364,254
424,0.17,0.63,0.76,0.67,-2.2,-2.08,420,449,389,368,251
425,0.18,0.64,0.76,0.43,-2.56,-2.56,421,445,387,365,254
426,0.18,0.64,0.76,1.16,-1.77,-3.11,422,450,387,365,250
427,0.18,0.64,0.76,0.18,-4.21,-2.44,420,450,385,368,250
428,0.18,0.64,0.76,0.73,-3.36,-1.71,419,446,387,364,252
429,0.18,0.64,0.76,0.98,-3.54,-1.89,420,447,386,367,250
430,0.18,0.64,0.76,0.0,-3.78,-2.56,415,451,390,366,253
431,0.19,0.64,0.76,-0.12,-3.23,-2.01,418,441,386,363,253
432,0.18,0.64,0.77,0.79,-2.75,-2.26,415,443,386,362,252
433,0.17,0.63,0.76,0.06,-2.38,-2.56,419,450,387,368,255
434,0.18,0.63,0.76,0.49,-3.23,-0.92,416,448,384,369,253
435,0.18,0.65,0.76,-2.93,-3.6,-3.23,418,448,386,369,249
436,0.17,0.64,0.76,1.28,-2.26,-2.26,419,446,393,372,250
437,0.18,0.65,0.75,3.54,-5.0,-1.4,421,447,391,364,247
438,0.18,0.65,0.75,1.77,-3.66,-2.62,418,445,386,365,252
439,0.19,0.67,0.75,1.4,-2.81,-2.2,419,443,385,364,247
440,0.19,0.65,0.75,-1.89,-1.34,-1.1,415,446,386,367,252
441,0.19,0.66,0.76,-6.29,-1.95,3.91,417,451,384,365,249
442,0.24,0.63,0.77,-9.22,-0.55,6.96,420,447,387,369,250
443,0.21,0.61,0.78,3.23,-2.75,-4.64,416,450,384,367,245
444,0.22,0.61,0.78,1.95,-3.66,-3.3,416,448,386,366,249
445,0.21,0.61,0.79,0.31,-2.08,-1.46,418,441,385,361,252
446,0.22,0.6,0.78,-1.28,-5.31,-2.08,414,448,383,362,251
447,0.23,0.6,0.78,-0.12,-3.48,-1.95,418,444,379,361,251
448,0.22,0.6,0.78,-2.08,-3.05,-2.69,418,448,382,363,253
449,0.22,0.6,0.79,-0.12,-2.26,-2.75,419,451,383,366,251
450,0.22,0.61,0.78,-0.37,-2.26,-2.56,416,446,381,364,259
451,0.22,0.62,0.77,1.16,-2.08,-3.6,414,446,381,363,248
452,0.22,0.62,0.78,0.43,-3.23,-2.56,417,441,381,372,250
453,0.21,0.61,0.78,-0.06,-3.97,-2.5,416,448,382,361,253
454,0.22,0.62,0.78,1.77,-3.72,-2.44,419,452,379,364,250
455,0.22,0.62,0.78,0.43,-3.48,-1.59,414,448,380,363,253
456,0.22,0.62,0.77,1.59,-2.75,-3.36,417,448,388,364,252
457,0.22,0.62,0.78,-1.34,-1.1,-2.44,420,458,381,364,259
458,0.21,0.63,0.78,2.38,-0.55,-3.6,418,445,380,366,250
459,0.15,0.65,0.77,10.31,4.09,-8.06,417,455,387,365,253
460,0.13,0.69,0.71,16.42,-5.31,-4.82,414,454,390,366,252
461,0.16,0.81,0.62,6.29,-4.94,-8.48,418,454,392,366,254
462,0.12,0.8,0.61,-0.06,-0.98,-2.44,420,454,388,366,255
463,0.07,0.83,0.64,-7.81,-9.16,-11.84,420,454,390,370,252
464,0.11,0.75,0.65,-1.46,-3.17,-1.53,416,448,388,366,253
465,0.1,0.77,0.65,-3.48,-0.85,-1.22,421,458,392,374,251
466,0.12,0.75,0.68,-0.12,-4.15,-4.7,417,456,391,366,254
467,0.12,0.74,0.65,3.36,-4.27,-1.34,422,455,391,368,250
