,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
58,0.76,-0.49,0.13,-11.35,2.26,14.53,228,266,204,462,311,16
59,1.07,-0.34,0.21,1.1,-7.93,-10.99,232,264,200,465,310,16
60,0.87,-0.47,0.15,4.76,8.06,9.28,230,261,199,461,311,16
61,0.87,-0.48,0.06,-8.24,-6.41,-8.42,230,264,204,461,310,16
62,0.88,-0.47,0.09,-1.71,-3.85,-2.2,230,264,202,457,312,16
63,0.89,-0.47,0.1,1.83,0.79,-2.08,230,264,201,463,305,16
64,0.86,-0.48,0.07,-0.79,-5.19,-5.92,229,268,202,463,310,16
65,0.88,-0.46,0.1,-1.83,-2.32,-2.75,232,262,202,466,309,16
66,0.89,-0.48,0.1,1.53,-2.93,-1.46,230,263,202,461,314,16
67,0.87,-0.49,0.09,3.17,-6.23,-2.5,232,262,201,461,310,16
68,0.88,-0.47,0.09,-5.13,-4.33,-2.99,229,267,203,465,311,16
69,0.83,-0.48,0.07,2.08,-0.55,4.76,232,265,201,461,313,16
70,0.88,-0.47,0.06,-0.73,-8.54,-3.05,238,266,203,463,309,16
71,0.9,-0.46,0.0,-1.4,-0.61,3.85,231,265,204,464,310,16
72,0.9,-0.45,0.13,10.8,8.18,5.98,229,265,205,462,309,16
73,0.87,-0.48,-0.01,-18.19,-14.4,-5.13,231,267,208,458,312,16
74,0.85,-0.49,0.02,8.54,-16.05,-5.43,229,264,202,463,307,16
75,0.91,-0.45,-0.01,9.64,-9.16,-3.78,217,264,206,463,311,16
76,0.85,-0.46,-0.15,9.22,-10.93,-17.52,236,266,204,464,310,16
77,0.94,-0.35,0.06,-14.04,-13.18,2.5,230,265,203,462,311,16
78,0.97,-0.4,0.0,-12.57,-4.15,1.95,238,273,206,458,314,16
79,0.94,-0.43,-0.01,6.41,0.31,-5.19,229,267,206,463,314,16
80,0.95,-0.41,-0.01,-1.53,-2.87,-1.83,231,260,204,467,309,16
81,0.83,-0.47,-0.02,4.33,0.55,8.97,229,266,204,464,310,16
82,0.85,-0.46,-0.0,21.36,7.51,5.0,232,265,204,467,313,16
83,0.87,-0.48,-0.05,-9.89,-9.58,-16.05,227,267,206,468,309,16
84,0.83,-0.49,0.04,-2.56,-3.97,-3.6,229,268,206,466,310,16
85,0.88,-0.46,-0.03,0.12,-5.31,-4.09,230,266,206,458,312,16
86,0.82,-0.49,-0.01,-5.43,-5.86,-4.46,231,265,203,464,307,16
