,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
50,0.08,-0.9,-0.35,16.17,16.05,-25.27,212,267,198,460,312,18
51,0.12,-0.93,-0.33,-0.12,-6.59,8.48,214,264,210,462,309,18
52,-0.03,-0.9,-0.24,0.0,-2.5,4.94,217,268,197,462,311,18
53,0.07,-0.92,-0.25,10.56,-10.68,-12.57,214,268,194,461,310,18
54,-0.02,-0.94,-0.28,-10.07,-4.82,4.58,212,266,200,462,310,18
55,0.01,-0.95,-0.29,11.05,-4.88,-16.3,215,265,196,458,310,18
56,0.32,-1.03,-0.25,20.39,21.48,-12.21,246,267,193,461,309,18
57,-0.06,-0.98,-0.29,-1.59,2.08,2.38,219,266,197,465,310,18
58,0.03,-0.94,-0.28,0.98,-2.5,-5.07,216,264,204,462,306,18
59,-0.05,-0.96,-0.3,-5.8,-19.59,-2.01,216,269,199,457,306,18
60,0.09,-0.95,-0.2,18.13,8.79,-12.21,219,268,198,461,315,18
61,-0.0,-0.97,-0.28,-8.79,-14.59,9.22,217,269,197,466,310,18
62,0.04,-0.97,-0.3,-0.24,-0.24,3.17,217,267,196,459,305,18
63,-0.05,-0.96,-0.34,-3.54,0.85,-1.53,216,266,199,461,304,18
64,-0.01,-0.93,-0.29,-4.09,10.86,-8.91,217,268,200,470,306,18
65,0.01,-0.93,-0.27,-2.93,6.04,-4.39,228,264,198,473,309,18
66,-0.0,-0.96,-0.35,1.53,-0.61,-4.39,214,268,200,458,306,18
67,0.09,-0.93,-0.3,4.21,-7.75,-11.11,218,266,198,462,310,18
68,0.15,-0.98,-0.3,2.99,-5.43,-15.99,223,265,200,456,307,18
69,0.15,-0.96,-0.31,-1.34,1.89,1.53,211,275,201,456,305,18
70,0.02,-0.96,-0.32,2.93,0.18,1.04,218,267,201,456,307,18
71,0.03,-0.96,-0.29,1.46,-1.04,-5.98,218,268,194,465,309,18
72,0.02,-0.95,-0.27,0.85,-1.95,-1.46,216,265,195,461,309,18
73,0.02,-0.96,-0.27,3.6,-5.07,-9.4,218,266,200,461,311,18
74,0.09,-0.94,-0.24,-1.4,-2.26,0.12,219,270,201,457,309,18
75,0.04,-0.96,-0.27,1.77,-2.14,-1.89,218,266,201,464,308,18
76,0.05,-0.95,-0.27,1.28,-1.77,-1.46,216,270,202,463,311,18
77,0.04,-0.96,-0.26,0.12,-2.56,-3.48,217,268,201,461,308,18
78,0.05,-0.95,-0.27,0.24,-4.21,-0.55,216,268,202,461,310,18
79,0.04,-0.95,-0.26,1.83,-2.62,-3.66,218,271,200,461,308,18
80,0.04,-0.96,-0.27,-0.49,-2.75,-3.72,216,264,199,461,306,18
81,0.05,-0.96,-0.26,1.77,-3.54,-2.26,217,270,202,461,311,18
82,0.05,-0.95,-0.27,-0.18,-2.81,-1.1,214,268,198,461,306,18
83,0.04,-0.95,-0.25,-0.98,-2.08,-2.93,213,264,199,456,307,18
84,0.04,-0.95,-0.26,1.16,-2.75,-1.1,218,270,203,465,310,18
85,0.04,-0.95,-0.26,0.49,-2.87,-2.62,219,269,199,461,308,18
86,0.04,-0.95,-0.27,-0.49,-3.36,-2.75,225,267,198,463,311,18
87,0.04,-0.96,-0.29,0.98,-1.83,-5.43,215,274,201,461,310,18
88,0.06,-0.95,-0.27,0.98,-2.32,-0.67,221,265,212,463,310,18
89,0.04,-0.95,-0.27,0.92,-3.17,-1.95,217,267,200,461,309,18
90,0.04,-0.95,-0.27,0.61,-2.69,-3.54,216,269,204,461,311,18
91,0.03,-0.96,-0.27,1.16,-3.17,-2.26,218,266,198,462,316,18
92,0.04,-0.96,-0.26,0.79,-2.75,-2.81,217,269,200,455,295,18
93,0.03,-0.95,-0.24,0.24,-1.04,0.67,217,267,200,462,309,18
94,0.05,-0.96,-0.27,0.61,-3.17,-5.49,213,267,201,461,307,18
95,0.05,-0.96,-0.26,-0.92,-2.81,-1.34,217,269,200,463,305,18
96,0.11,-0.94,-0.34,-5.37,-4.03,-19.23,219,269,201,460,308,18
97,0.15,-0.93,-0.28,-1.89,-4.76,-6.59,216,269,207,466,309,18
98,0.12,-0.94,-0.28,-3.11,2.32,-1.04,219,270,199,465,310,18
99,0.14,-0.9,-0.27,1.16,-5.86,1.89,219,268,204,459,306,18
100,0.13,-0.92,-0.28,3.11,0.73,8.91,216,270,201,462,310,18
101,0.01,-0.95,-0.27,0.67,-0.85,3.36,214,270,203,458,311,18
102,0.09,-0.96,-0.3,1.28,-2.5,-13.31,217,268,201,463,309,18
103,0.08,-0.95,-0.26,-3.66,1.53,8.48,217,268,202,460,306,18
104,0.03,-0.96,-0.27,2.38,-5.37,-13.43,217,269,201,461,311,18
105,0.05,-0.96,-0.26,-2.56,-3.23,0.12,213,269,203,466,309,18
106,0.07,-0.96,-0.23,2.62,-2.87,-6.23,217,268,201,465,310,18
107,-0.03,-0.95,-0.26,6.53,-47.85,0.12,218,268,204,461,309,18
108,0.05,-0.93,-0.28,3.3,2.69,7.87,215,273,201,460,311,18
109,0.07,-0.95,-0.3,1.22,-1.95,-5.43,219,272,200,456,311,18
110,0.13,-0.98,-0.39,-10.93,-3.6,-27.53,217,271,204,459,310,18
111,0.15,-0.95,-0.25,-3.6,-1.34,-1.34,219,265,199,464,307,18
112,0.12,-0.95,-0.25,4.27,-2.75,0.37,245,267,202,461,306,18
