,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
82,0.15,0.91,0.38,-0.06,-2.81,-0.67,345,453,406,263,209
83,0.15,0.91,0.39,1.22,-2.62,-2.08,342,449,403,264,205
84,0.15,0.91,0.39,0.61,-2.38,-1.95,346,456,403,263,214
85,0.15,0.91,0.4,-0.43,-2.69,-2.5,345,446,403,266,213
86,0.16,0.91,0.39,2.99,-2.62,-2.75,346,453,405,266,211
87,0.14,0.9,0.39,-1.83,-2.01,-2.08,345,452,404,266,212
88,0.14,0.9,0.4,-2.75,-3.48,-2.38,347,452,399,266,208
89,0.13,0.9,0.41,-1.95,-2.26,-3.48,347,455,400,264,209
90,0.16,0.91,0.4,0.67,-1.95,-2.01,346,453,402,266,212
91,0.14,0.91,0.41,0.79,-3.78,-2.81,349,448,401,264,210
92,0.15,0.9,0.4,0.31,-4.15,-0.92,344,453,401,265,213
93,0.15,0.9,0.41,2.62,-1.65,-3.42,342,450,401,266,212
94,0.13,0.9,0.4,0.98,0.98,-4.39,346,450,407,267,215
95,0.13,0.91,0.39,0.61,-2.99,-2.38,344,451,403,263,206
96,0.13,0.9,0.4,0.12,-3.91,-1.53,344,448,400,267,214
97,0.13,0.9,0.4,-0.98,-3.91,-2.01,344,450,405,267,210
98,0.13,0.89,0.41,-1.53,-3.78,-1.77,346,450,404,265,213
99,0.13,0.9,0.4,-3.11,-3.3,-4.39,346,442,403,263,213
100,0.14,0.9,0.41,1.95,-3.78,-0.37,345,448,399,268,209
101,0.14,0.89,0.41,1.04,-2.62,-1.71,345,450,399,267,210
102,0.12,0.91,0.4,0.24,-3.6,-2.44,341,448,401,265,209
103,0.13,0.91,0.41,-1.53,-2.69,-3.42,346,451,397,266,214
104,0.12,0.9,0.42,-0.67,-4.76,-2.32,345,449,397,266,212
105,0.12,0.88,0.42,-1.46,-1.28,-0.06,347,446,393,264,214
106,0.15,0.85,0.44,-1.59,-7.32,-1.4,338,449,404,266,210
107,0.15,0.87,0.45,-1.53,-4.15,-2.5,345,449,401,265,215
108,0.14,0.88,0.45,0.24,-3.05,-1.65,341,449,400,266,212
109,0.15,0.87,0.45,-1.16,-2.5,-0.37,346,449,400,267,212
110,0.15,0.87,0.45,-5.74,-4.7,-3.48,345,447,397,265,214
111,0.16,0.88,0.48,-3.17,-8.18,-2.99,347,450,399,267,211
112,0.15,0.89,0.48,-4.52,-5.86,-3.54,346,449,399,267,215
113,0.15,0.88,0.46,5.37,-5.92,-3.54,348,445,401,269,214
114,0.15,0.87,0.49,-6.77,-11.54,-1.1,344,449,414,269,213
115,0.18,0.85,0.48,1.34,-3.11,-1.28,347,448,397,266,212
116,0.2,0.86,0.48,2.62,-3.05,-2.62,345,452,403,275,214
117,0.19,0.86,0.48,-2.26,4.7,-2.62,344,454,400,270,212
118,0.19,0.87,0.49,1.77,-3.91,0.49,346,449,401,269,217
