,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
194,0.51,0.77,0.41,0.43,-3.3,-1.16,416,468,247,326,237
195,0.5,0.75,0.41,1.16,-4.52,-1.22,414,461,245,325,239
196,0.51,0.77,0.4,2.5,-2.81,-2.93,413,470,246,323,237
197,0.5,0.77,0.41,1.65,-2.32,-2.5,419,465,249,324,240
198,0.5,0.78,0.41,0.24,-2.75,-2.56,418,466,249,320,239
199,0.52,0.76,0.39,1.65,-3.66,-4.39,418,467,249,324,238
200,0.5,0.78,0.41,0.18,-3.91,-3.05,417,470,247,324,238
201,0.5,0.77,0.4,-1.77,-2.5,-1.95,419,466,257,326,240
202,0.51,0.78,0.39,1.34,-1.71,-2.32,419,468,250,321,236
203,0.5,0.78,0.41,-0.79,-2.38,-4.09,415,466,250,320,237
204,0.49,0.75,0.41,0.61,-1.83,-2.81,418,469,247,323,237
205,0.49,0.76,0.42,-1.28,-2.75,-2.99,418,465,248,326,239
206,0.5,0.77,0.41,1.4,-1.95,-1.28,416,462,250,325,238
207,0.5,0.78,0.42,0.85,-3.17,-1.95,419,472,248,323,237
208,0.51,0.76,0.4,0.98,-3.97,-1.77,417,467,250,324,237
209,0.51,0.76,0.4,0.24,-2.99,-2.08,418,465,250,324,237
210,0.5,0.76,0.41,0.73,-4.39,-1.46,419,469,248,324,234
211,0.51,0.76,0.41,1.46,-3.05,-2.44,414,465,245,324,237
212,0.51,0.76,0.41,-0.37,-3.54,-2.56,418,469,245,326,240
213,0.51,0.76,0.41,1.22,-4.03,-0.79,421,466,249,321,237
214,0.51,0.75,0.42,-1.22,-3.3,-0.49,419,466,248,323,240
215,0.51,0.77,0.43,2.93,-3.17,-2.87,417,463,247,326,240
216,0.51,0.76,0.41,1.89,-3.48,-2.26,416,462,246,326,237
217,0.49,0.77,0.41,1.22,-2.14,-2.2,418,462,247,324,239
218,0.49,0.76,0.42,-0.67,-2.81,-2.99,418,465,247,324,240
219,0.5,0.76,0.41,-0.24,-2.87,-4.27,418,470,248,324,233
220,0.5,0.76,0.41,-2.26,-3.85,-1.71,418,467,247,324,237
221,0.49,0.77,0.42,-0.73,-0.61,-4.33,413,466,243,324,238
222,0.5,0.77,0.42,-0.18,-2.26,-2.81,420,463,247,324,237
223,0.51,0.78,0.42,0.37,-2.93,-2.75,416,466,249,325,240
224,0.51,0.76,0.41,-0.49,-2.44,-2.69,414,466,249,321,237
225,0.5,0.76,0.41,-0.18,-3.05,-2.99,420,465,250,327,240
226,0.5,0.76,0.41,-1.46,-2.75,-3.54,417,467,244,325,239
227,0.51,0.75,0.42,-0.24,-2.08,-2.99,413,467,245,324,236
228,0.52,0.76,0.41,1.28,-2.75,-4.46,414,465,246,324,240
229,0.5,0.76,0.42,-0.24,-2.32,-2.87,418,467,250,325,242
230,0.5,0.76,0.42,-0.31,-3.91,-3.36,418,470,246,324,238
231,0.5,0.77,0.42,0.06,-2.01,-4.52,418,465,246,330,238
232,0.5,0.78,0.42,1.4,-1.71,-2.81,421,461,246,324,239
233,0.51,0.76,0.39,-0.67,-3.23,-3.05,415,470,245,324,238
234,0.51,0.75,0.4,-6.47,-9.09,-4.88,418,470,248,326,239
235,0.5,0.76,0.4,-1.89,-2.26,-1.65,419,470,247,324,239
236,0.48,0.76,0.42,2.01,-5.19,-4.46,420,467,245,327,238
237,0.51,0.76,0.41,4.21,-1.77,-5.13,417,464,247,324,237
238,0.48,0.8,0.4,3.97,-2.56,-5.25,418,467,247,324,236
239,0.47,0.8,0.4,0.79,-1.65,-3.78,418,469,244,326,236
240,0.46,0.8,0.4,1.46,-4.09,-2.62,417,472,249,326,240
241,0.46,0.79,0.38,1.22,-3.05,-2.26,418,470,253,326,239
242,0.46,0.82,0.41,0.24,-0.49,-3.17,417,466,248,325,240
243,0.47,0.78,0.39,0.73,-1.28,-4.21,419,466,249,325,238
