0.96,-0.29,-0.11,-0.55,-2.93,-2.99,226,281,192,454,345
0.94,-0.31,-0.10,1.71,-3.36,-2.32,232,281,195,454,342
0.96,-0.29,-0.12,1.28,-4.58,-5.55,232,283,188,451,346
0.95,-0.29,-0.10,0.43,-4.58,-3.85,231,291,191,446,345
0.96,-0.29,-0.12,1.28,-3.30,-1.46,231,288,197,450,349
0.95,-0.30,-0.08,0.67,-1.77,-2.44,232,286,198,449,344
0.94,-0.30,-0.11,-0.79,-2.20,-2.01,232,284,190,448,347
0.96,-0.30,-0.10,1.65,-3.48,-2.75,228,282,194,454,344
0.93,-0.31,-0.09,-0.06,-3.17,-2.62,231,280,199,449,345
0.94,-0.32,-0.10,-0.49,-1.53,-1.53,228,286,194,449,346
0.95,-0.31,-0.11,-0.06,-3.42,-3.48,236,285,195,453,348
0.96,-0.29,-0.09,-0.18,-2.81,-2.62,229,288,195,452,345
0.97,-0.29,-0.09,0.85,-3.60,-2.93,231,286,196,453,349
0.96,-0.29,-0.10,0.12,-3.42,-0.73,232,285,196,446,345
0.94,-0.32,-0.08,0.55,-3.23,-2.20,232,289,184,453,346
0.93,-0.33,-0.10,-2.32,-2.50,-2.38,229,287,193,452,343
0.95,-0.31,-0.08,-0.37,-3.23,-3.11,233,286,196,455,350
0.95,-0.31,-0.09,0.92,-2.99,-3.05,227,283,196,456,346
0.93,-0.32,-0.08,-0.43,-3.36,-0.73,233,287,195,453,344
0.93,-0.32,-0.08,0.98,-3.17,-2.62,232,284,191,451,345
0.96,-0.30,-0.08,0.61,-3.78,-2.69,229,285,195,452,346
0.94,-0.31,-0.08,3.97,-3.54,-2.87,229,287,195,455,347
0.95,-0.31,-0.08,1.34,-3.23,-3.60,230,285,191,456,346
0.94,-0.33,-0.08,0.49,-3.23,-2.62,229,276,197,450,345
0.94,-0.32,-0.08,-0.06,-2.38,-2.38,230,278,198,449,348
0.94,-0.32,-0.06,0.06,-1.46,-0.79,228,284,193,456,345
0.95,-0.31,-0.08,0.06,-2.81,-2.14,228,286,186,452,349
0.96,-0.31,-0.07,0.06,-2.14,-1.89,228,287,193,454,358
0.95,-0.32,-0.08,0.85,-3.05,-2.26,230,285,192,452,346
0.94,-0.31,-0.07,0.85,-3.66,-2.26,233,284,193,454,347
0.94,-0.31,-0.07,1.22,-3.23,-2.20,231,282,197,453,345
0.95,-0.31,-0.09,-0.73,-2.99,-2.87,228,283,199,456,347
0.94,-0.32,-0.08,-0.12,-2.50,-2.93,228,286,194,457,348
0.94,-0.32,-0.07,1.22,-2.62,-2.62,230,288,195,451,346
0.95,-0.31,-0.08,0.31,-3.11,-2.26,227,285,199,457,347
0.95,-0.31,-0.08,0.55,-2.75,-2.14,231,285,200,453,346
0.96,-0.31,-0.09,0.24,-3.17,-2.32,230,286,196,452,348
0.95,-0.32,-0.08,-0.92,-2.32,-2.32,231,283,199,456,346
0.95,-0.32,-0.07,0.43,-2.50,-2.32,222,283,200,453,345
0.95,-0.32,-0.08,0.24,-2.93,-2.56,232,283,204,455,348
0.94,-0.32,-0.08,0.18,-3.48,-2.32,232,283,201,456,345
0.93,-0.32,-0.07,0.49,-4.15,-4.58,231,283,196,454,346
0.97,-0.30,-0.08,1.71,-2.99,-3.11,228,283,196,455,347
0.94,-0.32,-0.08,0.79,-2.44,-1.40,231,282,196,451,344
0.95,-0.31,-0.08,0.43,-3.91,-2.08,235,284,199,452,347
0.97,-0.30,-0.06,1.65,-3.66,-4.03,225,284,186,451,351
0.95,-0.30,-0.08,0.24,-3.54,-2.20,229,284,196,453,347
0.95,-0.33,-0.08,0.00,-2.99,-2.93,226,286,198,454,346
0.94,-0.32,-0.07,-0.43,-2.44,-2.50,232,289,198,457,346
0.95,-0.31,-0.07,0.79,-2.08,-1.10,229,285,196,454,348
0.96,-0.31,-0.09,0.79,-3.23,-2.44,232,282,201,455,359
0.95,-0.31,-0.08,-0.31,-3.72,-2.32,229,284,202,453,345
0.95,-0.30,-0.07,1.16,-5.19,-6.41,230,284,204,456,343
0.95,-0.31,-0.10,0.12,-1.46,-2.50,226,283,196,462,346
0.94,-0.31,-0.09,-0.43,-2.69,-2.87,234,301,195,454,348
0.95,-0.31,-0.07,0.55,-2.32,-3.36,232,288,198,455,345
0.96,-0.30,-0.07,0.31,-2.44,-2.08,232,289,187,454,348
0.96,-0.30,-0.08,1.95,-3.85,-2.75,231,291,196,458,348
0.93,-0.32,-0.06,2.14,-6.90,-2.99,236,285,197,452,350
0.92,-0.34,-0.08,-0.18,-2.81,-2.75,229,279,199,456,349
0.95,-0.32,-0.08,-0.55,-1.46,-3.23,231,285,196,462,343
0.94,-0.33,-0.08,0.55,-2.44,-1.46,226,279,195,460,348
0.93,-0.33,-0.08,-0.06,-3.42,-1.53,232,287,201,453,347
0.92,-0.35,-0.11,-1.40,-2.32,-0.43,234,281,194,455,347
0.95,-0.32,-0.08,1.34,-3.78,-4.39,233,293,199,459,350
0.94,-0.32,-0.10,-0.31,-2.08,-2.44,232,283,203,457,344
0.94,-0.33,-0.09,-1.28,-2.87,-2.44,231,283,201,451,348
0.91,-0.35,-0.08,-2.08,-4.33,-3.60,232,283,193,457,349
0.94,-0.33,-0.08,1.04,-4.33,-3.17,230,287,198,455,348
0.95,-0.32,-0.08,1.65,-2.69,-2.99,232,283,198,460,343
0.95,-0.32,-0.09,-0.12,-4.27,-1.10,233,285,200,456,349
0.95,-0.34,-0.11,2.99,-6.84,-0.98,228,290,197,456,345
0.92,-0.35,-0.10,-0.73,-2.75,-2.44,231,285,205,452,346
0.93,-0.33,-0.07,-1.71,0.73,-2.14,230,286,203,455,350
